filename,oc_number,title,date,category,supersedes,superseded_by,local_path
Circular-NPS.pdf,,Circular NPS,,UPI,,,Data/raw_pdfs/upi/Circular-NPS.pdf
Circular-on-Launch-of-Self-Attestation-for-FY-22-23.pdf,,Circular on Launch of Self Attestation for FY 22 23,FY 22-23,Compliance,,,Data/raw_pdfs/upi/Circular-on-Launch-of-Self-Attestation-for-FY-22-23.pdf
Completion-of-Self-Attestation-on-PCOMP-Portal-Q2-&-Q3-FY-22-23.pdf,,Completion of Self Attestation on PCOMP Portal Q2 & Q3 FY 22 23,FY 22-23,Compliance,,,Data/raw_pdfs/upi/Completion-of-Self-Attestation-on-PCOMP-Portal-Q2-&-Q3-FY-22-23.pdf
Initiation-of-Self-Attestation-for-Q4-and-General-Compliance.pdf,,Initiation of Self Attestation for Q4 and General Compliance,,Compliance,,,Data/raw_pdfs/upi/Initiation-of-Self-Attestation-for-Q4-and-General-Compliance.pdf
NPCI-UPI-OC-115D---Addendum-to-Numeric-UPI-ID-Mapper-on-Revised-Timeline.pdf,115D,NPCI UPI OC 115D Addendum to Numeric UPI ID Mapper on Revised Timeline,,UPI,,,Data/raw_pdfs/upi/NPCI-UPI-OC-115D---Addendum-to-Numeric-UPI-ID-Mapper-on-Revised-Timeline.pdf
NPCI-UPI-OC-133A---Addendum-to-OC-133---Addition-of-Initiation-Mode-and-Channel-identifiers-for-new-use-cases.pdf,133A,NPCI UPI OC 133A Addendum to OC 133 Addition of Initiation Mode and Channel identifiers for new use cases,,UPI,,,Data/raw_pdfs/upi/NPCI-UPI-OC-133A---Addendum-to-OC-133---Addition-of-Initiation-Mode-and-Channel-identifiers-for-new-use-cases.pdf
NPCI-UPI-OC-141-B---Addendum-to-NPCI-OC-141-Safeguarding-users-on-UPI-(Addendum).pdf,141B,NPCI UPI OC 141 B Addendum to NPCI OC 141 Safeguarding users on UPI (Addendum),,UPI,,,Data/raw_pdfs/upi/NPCI-UPI-OC-141-B---Addendum-to-NPCI-OC-141-Safeguarding-users-on-UPI-(Addendum).pdf
OC-100A---Addendum-to-“Mandatory-Brand-Guidelines-for-BHIM-UPI”.pdf,100A,OC 100A Addendum to “Mandatory Brand Guidelines for BHIM UPI”,,UPI,,,Data/raw_pdfs/upi/OC-100A---Addendum-to-“Mandatory-Brand-Guidelines-for-BHIM-UPI”.pdf
OC-125A---Addendum-to-OC-125---Non-revocation-of-UPI-AUTOPAY-mandate-for-loan-repayment-&-EMI-collection-category.pdf,125A,OC 125A Addendum to OC 125 Non revocation of UPI AUTOPAY mandate for loan repayment & EMI collection category,,UPI,,,Data/raw_pdfs/upi/OC-125A---Addendum-to-OC-125---Non-revocation-of-UPI-AUTOPAY-mandate-for-loan-repayment-&-EMI-collection-category.pdf
OC-147---Handling-of-Transaction-declines-during-address-resolution-authorisation-leg.pdf,147,OC 147 Handling of Transaction declines during address resolution authorisation leg,,UPI,,,Data/raw_pdfs/upi/OC-147---Handling-of-Transaction-declines-during-address-resolution-authorisation-leg.pdf
OC-151---UPI-AUTOPAY-AFA-limit-enhancement-and-compliance.pdf,151,OC 151 UPI AUTOPAY AFA limit enhancement and compliance,,UPI,,,Data/raw_pdfs/upi/OC-151---UPI-AUTOPAY-AFA-limit-enhancement-and-compliance.pdf
OC-152---Revised-timelines-on-Changes-in-UPI-raw-file.pdf,152,OC 152 Revised timelines on Changes in UPI raw file,,UPI,,,Data/raw_pdfs/upi/OC-152---Revised-timelines-on-Changes-in-UPI-raw-file.pdf
OC-163---Furthering-the-Interoperability-in-UPI-ecosystem.pdf,163,OC 163 Furthering the Interoperability in UPI ecosystem,,UPI,,,Data/raw_pdfs/upi/OC-163---Furthering-the-Interoperability-in-UPI-ecosystem.pdf
OC149-A---Addendum-to-OC-149---Reduction-of-business-declines-in-UPI.pdf,149A,OC149 A Addendum to OC 149 Reduction of business declines in UPI,,UPI,,,Data/raw_pdfs/upi/OC149-A---Addendum-to-OC-149---Reduction-of-business-declines-in-UPI.pdf
PCOMP-Portal-_-001-_-Initiation-of-Self-Attestation-of-Members_Participants-for-F_Y_2026-27.pdf,,PCOMP Portal 001 Initiation of Self Attestation of Members Participants for F Y 2026 27,2026,Compliance,,,Data/raw_pdfs/upi/PCOMP-Portal-_-001-_-Initiation-of-Self-Attestation-of-Members_Participants-for-F_Y_2026-27.pdf
Product-Compliance-_-001-_-FY-24-25-_-Initiation-of-Self-Attestation-for-Q4-FY-23-24.pdf,,Product Compliance 001 FY 24 25 Initiation of Self Attestation for Q4 FY 23 24,FY 24-25,Compliance,,,Data/raw_pdfs/upi/Product-Compliance-_-001-_-FY-24-25-_-Initiation-of-Self-Attestation-for-Q4-FY-23-24.pdf
Product-Compliance-_-001-_-Initiation-of-Self-Attestation-of-Members_Participants-for-F_Y_-2025-26.pdf,,Product Compliance 001 Initiation of Self Attestation of Members Participants for F Y 2025 26,2025,Compliance,,,Data/raw_pdfs/upi/Product-Compliance-_-001-_-Initiation-of-Self-Attestation-of-Members_Participants-for-F_Y_-2025-26.pdf
Product-Compliance-_-002-_-FY-23-24-_-Self-attestation-submission-by-internal-audit-or-compliance-function-of-member_participant.pdf,,Product Compliance 002 FY 23 24 Self attestation submission by internal audit or compliance function of member participant,FY 23-24,Compliance,,,Data/raw_pdfs/upi/Product-Compliance-_-002-_-FY-23-24-_-Self-attestation-submission-by-internal-audit-or-compliance-function-of-member_participant.pdf
Product-Compliance-_-002-_-F_Y_-24-25-_-Initiation-of-Self-Attestation-for-F_Y_-24-25.pdf,,Product Compliance 002 F Y 24 25 Initiation of Self Attestation for F Y 24 25,,Compliance,,,Data/raw_pdfs/upi/Product-Compliance-_-002-_-F_Y_-24-25-_-Initiation-of-Self-Attestation-for-F_Y_-24-25.pdf
